Cancer1,Cancer2,Cancer3,Cancer4,Cancer5,Normal1,Normal2,Normal3,Normal4,Normal5
486,2830,1717,1204,806,2142,3433,955,988,796
5512,7680,10721,4730,5645,9301,12431,5228,5365,3699
179,461,309,125,239,290,692,232,237,138
1770,1552,2196,1574,1527,1442,2446,1075,1166,736
175,70,411,511,270,502,430,181,116,272
6720,8078,22671,4267,8241,15689,15697,6867,6833,5525
2738,4244,5540,5877,3553,3191,5704,2837,2343,1527
2023,1836,3184,3562,2926,2929,7887,3441,2968,1601
3060,4069,5603,3136,3648,3818,5529,2969,2733,2203
2059,4220,6081,2453,3805,6166,5365,2509,2556,2676
3128,618,4200,1453,6882,1866,4011,2123,2863,3422
1548,1997,2461,2973,2776,3286,8507,4726,2654,1827
464,657,1284,524,653,563,1196,431,418,301
452,240,942,565,274,316,944,252,392,192
1594,2333,2204,742,1863,1670,2505,1407,1315,765
3778,6127,5085,2228,3847,3901,5585,2951,2829,1692
20,51,73,2623,18,21,120,23,42,22
1005,834,2179,745,1343,1034,1374,422,362,550
2999,1818,5633,1837,2526,3694,5925,898,1156,1955
1800,753,1669,5327,1371,985,3222,893,863,450
1764,2082,3627,1822,3372,3043,5945,2526,2322,1645
11220,2776,9205,1949,8382,29331,30686,12433,10723,5622
167,192,207,373,164,38,47,16,10,17
944,421,5562,644,1034,1590,3272,1074,1157,902
989,1002,1733,3016,1143,1688,2544,2016,1524,1021
400,489,755,453,637,630,1787,494,485,375
2156,1853,3051,1664,2963,2534,4209,2529,1647,1046
603,178,4811,198,468,3510,5046,2928,4246,3591
734,776,3787,1512,956,1939,3531,712,956,1831
4721,11032,8508,3428,5930,3285,5496,944,1456,3062
1195,1648,5529,1410,1310,2296,3311,1169,1325,965
1046,1095,3599,1181,1512,1280,3514,697,864,668
3016,2701,5513,3438,5385,5618,9339,5282,4946,2649
2596,2587,3144,3456,5059,3885,6493,3026,2678,1646
27667,7431,44658,8602,28712,54707,51147,26053,18158,23616
20,177,255,80,30,35,117,29,41,25
1726,265,2227,512,1527,1710,3276,983,1035,778
1181,1241,4666,736,1439,961,1783,347,410,655
15602,3177,33718,7700,17573,25887,24500,20762,17289,19328
28,3,54,21,1,7,39,3,2,1
285,277,1422,193,387,915,1655,682,591,445
1027,94,2328,3355,2234,1573,1432,334,246,2484
1171,1158,5974,1685,3292,3688,7697,2110,2498,1893
395,636,1057,721,882,699,2381,515,528,351
1472,514,1715,2029,1754,2835,4424,2908,1919,1044
0,25,11,7,6,0,2,0,2,0
6029,2173,32130,3119,7133,7644,13187,15707,11593,4989
888,1551,3484,1239,1632,1168,1571,518,489,428
416,111,311,242,400,189,182,72,72,149
415,501,845,592,609,529,773,456,338,321
4444,1329,6916,2821,4141,5268,6864,2057,1704,2864
2813,3871,4126,2058,2688,3674,5302,2644,2359,1837
479,201,615,816,853,436,1172,150,177,341
1795,3093,2233,1128,1895,1512,3007,1019,971,725
3288,3722,7368,4501,5439,10461,15047,7825,7299,4621
338,289,2763,522,445,438,1044,355,649,238
474,481,674,328,1021,409,299,177,140,266
3635,3038,12274,3140,5560,4890,10174,4969,4766,2959
3762,2996,4730,9253,2789,4290,6901,3509,3168,2026
34,6,49,32,49,45,80,22,38,64
248,78,980,37,122,5,15,0,2,0
