data,time,sex,age,wings,weigh,ELL,PNW,eggs
21.08.89,2,m,3,1,"210,4","10,9","4,9",0
21.08.89,2,m,3,1,"192,5","10,7","4,7",0
21.08.89,2,f,3,1,"322,5","12,1","5,3",2
22.08.89,1,m,3,1,"189,2","10,5","4,4",0
22.08.89,1,m,3,1,"206,2","10,9","4,7",0
23.08.89,2,m,3,1,"234,0","10,2","4,8",0
30.08.89,1,m,3,1,"243,2","10,7","5,0",0
30.08.89,3,f,3,1,"333,6","11,0","5,0",2
30.08.89,3,m,3,1,"242,0","10,5","4,8",0
31.08.89,1,m,4,1,"221,0","10,4","4,5",0
31.08.89,1,f,3,1,"241,5","11,2","4,5",1
02.09.89,3,f,4,1,"348,2","11,2","5,4",0
03.09.89,1,m,3,1,"192,8","8,3","4,6",0
03.09.89,1,f,4,1,"328,2","10,5","5,4",0
03.09.89,3,f,4,1,"315,1","10,8","5,2",0
06.09.89,3,f,4,1,"243,2","10,6","4,8",1
16.09.89,3,f,2,1,"244,2","10,2","4,9",0
11.06.88,3,f,3,2,"242,0","10,6","5,2",15
13.06.88,3,m,3,1,"234,7","11,0","5,1",0
14.06.88,1,m,3,2,"179,0","10,0","4,8",0
17.06.88,3,m,3,2,"196,2","10,5","5,0",0
23.06.88,1,f,3,2,"286,3","10,3","5,2",15
06.07.88,1,f,3,1,"273,5","10,4","4,9",12
08.07.88,1,m,3,2,"148,5","9,3","4,3",0
17.07.88,1,m,3,1,"173,0","10,4","4,3",0
18.07.88,1,m,3,1,"154,2","10,1","4,5",0
18.07.88,1,m,2,1,"203,2","11,5","4,8",0
18.07.88,1,f,1,1,"141,0","10,6","4,6",0
24.07.88,1,m,3,1,"190,0","10,1","4,4",0
24.07.88,3,m,3,1,"130,0","8,9","4,2",0
25.07.88,1,m,3,1,"192,5","10,3","4,8",0
26.07.88,1,m,3,1,"146,6","9,3","4,0",0
26.07.88,1,m,3,1,"200,0","10,8","4,5",0
27.07.88,2,f,3,1,"227,1","11,2","5,2",8
27.07.88,2,m,3,1,"198,3","11,1","4,5",0
31.07.88,1,f,3,1,"237,9","11,5","5,3",4
31.07.88,1,m,3,1,"207,1","11,6","5,2",0
01.08.88,1,m,3,1,"221,5","1,2","5,4",0
01.08.88,1,m,3,1,"245,6","10,8","5,2",0
01.08.88,3,m,3,1,"201,6","11,2","5,3",0
03.08.88,2,m,3,1,"201,0","11,3","5,0",0
04.08.88,1,m,3,1,"202,1","11,2","5,3",0
04.08.88,1,m,3,1,"185,4","10,8","5,2",0
04.08.88,3,m,3,1,"182,6","11,3","5,2",0
04.08.88,3,f,3,1,"336,4","12,5","5,7",20
04.08.88,3,m,3,1,"173,4","10,0","4,9",0
06.08.88,2,m,3,1,"163,5","10,2","4,6",0
06.08.88,3,m,3,1,"198,0","10,8","4,8",0
07.08.88,1,m,3,1,"205,3","11,0","5,0",0
07.08.88,2,m,3,1,"139,9","9,9","4,4",0
07.08.88,3,m,3,1,"194,4","11,0","5,3",0
07.08.88,3,m,3,1,"182,0","10,9","5,2",0
07.08.88,3,m,3,1,"183,2","10,7","5,2",0
08.08.88,2,m,3,1,"198,1","11,0","5,0",0
10.08.88,3,m,3,1,"173,8","10,5","4,8",0
11.08.88,3,f,3,1,"308,7","12,1","5,8",17
12.08.88,1,m,3,1,"186,1","10,6","4,7",0
15.08.88,3,f,3,1,"366,7","12,7","5,7",16
16.08.88,1,m,3,1,"174,4","10,3","4,5",0
16.08.88,1,m,3,1,"182,9","10,6","4,9",0
16.08.88,1,m,3,1,"186,8","10,7","4,9",0
16.08.88,2,m,3,1,"201,0","11,2","4,9",0
18.06.90,1,m,3,1,"163,5","10,3","4,6",0
21.06.90,1,f,3,1,"267,2","11,2","4,9",4
23.06.90,3,f,3,1,"321,4","11,5","5,2",25
05.07.90,1,m,1,1,"163,2","10,5","4,8",0
05.07.90,1,f,1,1,"189,5","10,9","5,0",0
05.07.90,3,m,1,1,"177,8","10,3","4,6",0
06.07.90,1,m,1,1,"160,8","10,0","4,4",0
07.07.90,1,m,2,1,"166,4","9,9","4,2",0
07.07.90,2,f,1,1,"179,5","11,5","4,8",0
08.07.90,1,m,1,1,"188,0","10,2","4,6",0
09.07.90,1,m,2,1,"184,4","10,1","4,3",0
09.07.90,1,f,1,1,"160,3","10,3","4,7",0
09.07.90,2,m,2,1,"161,2","10,3","4,4",0
10.07.90,2,m,2,1,"150,5","9,8","4,4",0
10.07.90,3,m,2,1,"172,8","10,5","4,8",0
11.07.90,1,m,2,1,"244,0","10,4","4,5",0
11.07.90,1,f,1,1,"237,0","10,8","4,8",0
11.07.90,1,f,2,1,"232,0","11,0","4,8",0
11.07.90,2,m,3,1,"231,2","11,0","4,7",0
12.07.90,1,m,2,1,"187,2","10,3","4,6",0
12.07.90,1,m,1,1,"203,0","10,5","4,6",0
12.07.90,1,f,2,1,"327,8","11,0","4,9",0
12.07.90,3,m,3,1,"203,6","11,1","4,8",0
13.07.90,1,m,3,1,"247,0","10,5","1,3",0
